hotel_ID,hotel_name,address,city,Capacity,Rating,Description,photourl
1,The Oberoi Cecil,"""Ambedkar ChowkChaura Maidan, Shimla - 171004, HIMACHAL PRADESH""",HIMACHAL PRADESH,75,4.0,Sample description for The Oberoi Cecil,https://example.com/photo1
2,The Lalit Grand Palace,"""Gupkar Road, Srinagar, JAMMU AND KASHMIR""",JAMMU AND KASHMIR,112,2.3,Sample description for The Lalit Grand Palace,https://example.com/photo2
3,Hotel Fateh Prakash Palace,"""The City Palace Complex, Udaipur - 313001, RAJASTHAN""",RAJASTHAN,30,3.1,Sample description for Hotel Fateh Prakash Palace,https://example.com/photo3
4,Shiv Niwas Palace,"""The City Palace ComplexUdaipur, Udaipur, RAJASTHAN""",RAJASTHAN,36,4.7,Sample description for Shiv Niwas Palace,https://example.com/photo4
5,Savoy Hotel ,"""77, Sylks Road, Ootacamund, TAMIL NADU""",TAMIL NADU,40,3.8,Sample description for Savoy Hotel ,https://example.com/photo5
6,Raheem Residency,"""20/1100Beach Road, Alleppey West - 688 012, KERALA""",KERALA,10,3.1,Sample description for Raheem Residency,https://example.com/photo6
7,Noor Us Sabah Palace,"""V.I.P.RoadKoh-E-Fiza, Bhopal - 462001, MADHYA PRADESH""",MADHYA PRADESH,57,4.1,Sample description for Noor Us Sabah Palace,https://example.com/photo7
8,The Panjim Inn ,"""31-ST JANUARY ROAD, FONTAINHAS, PANAJI, Panaji , GOA""",GOA,15,4.9,Sample description for The Panjim Inn ,https://example.com/photo8
9,Balaram Palace Resort,"""Chitrassani Village,off Abu Palanpur Highway No.14 Banaskantha, BANASKANTHA, GUJARAT""",GUJARAT,22,4.9,Sample description for Balaram Palace Resort,https://example.com/photo9
10,Nilambag Palace Hotel,"""Bhavnagar, Bhavnagar, GUJARAT""",GUJARAT,28,2.0,Sample description for Nilambag Palace Hotel,https://example.com/photo10
11,The Fort Ramgarh,"""Ramgarh, Panchkula On NH - 73 Delhi Shimla Highway, Near Chandigarh, Panchkula Distt., HARYANA""",HARYANA,12,2.5,Sample description for The Fort Ramgarh,https://example.com/photo11
12,The Judges Court,"""Heritage VillageParagpur, Distt. - Kangra - 177107, HIMACHAL PRADESH""",HIMACHAL PRADESH,10,1.8,Sample description for The Judges Court,https://example.com/photo12
13,The Palace,"""Chail, Solan,HIMACHAL PRADESH""",HIMACHAL PRADESH,31,2.0,Sample description for The Palace,https://example.com/photo13
14,The Castle Naggar,"""Naggar, Distt. Kullu - 175130, HIMACHAL PRADESH""",HIMACHAL PRADESH,17,4.6,Sample description for The Castle Naggar,https://example.com/photo14
